symbol,date,trade_id,timestamp,price,quantity,trader_id,violation_type,final_score,selection_source,event_anchor_trade_id,pass1_reason,confirmation_reason,reason
BATUSDT,2026-02-09,BATUSDT_00000525,2026-02-09 14:07:30.164246,0.124671,90.894651,trader_10,ramping,0.81442163,direct_confirmation,BATUSDT_00000525,high_signal_bat_dead_hour,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=4.07"
BATUSDT,2026-02-16,BATUSDT_00000527,2026-02-16 10:58:00.000000,0.130215,344.35745,trader_10,ramping,0.6218464,direct_confirmation,BATUSDT_00000527,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=2.55"
BATUSDT,2026-02-09,BATUSDT_00000523,2026-02-09 13:44:47.095565,0.124271,87.488397,trader_10,ramping,0.49968691,event_expansion,BATUSDT_00000525,,expanded_from_confirmed_event,Part of a confirmed ramping event from the same wallet with monotonic price progression
BATUSDT,2026-02-09,BATUSDT_00000524,2026-02-09 13:53:42.579456,0.124663,90.879652,trader_10,ramping,0.48955642,event_expansion,BATUSDT_00000525,,expanded_from_confirmed_event,Part of a confirmed ramping event from the same wallet with monotonic price progression
BATUSDT,2026-02-09,BATUSDT_00000520,2026-02-09 10:05:00.000000,0.124136,100,trader_10,spoofing,0.66528455,direct_confirmation,BATUSDT_00000520,high_signal_bat_dead_hour,strict_bat_dead_hour,"Confirmed spoofing proxy: price deviation=0.76%, next-minute reversal=0.00%"
BTCUSDT,2026-02-20,BTCUSDT_00001966,2026-02-20 17:50:38.229239,67508.918,2.978477,wallet_BTC0139,wash_trading,0.62581588,direct_confirmation,BTCUSDT_00001966,high_signal_qty_rolling_z,strict_wash,"Confirmed wash-like flow: repeated near-zero net directional activity, wallet_freq_z=1.12"
BTCUSDT,2026-02-05,BTCUSDT_00000918,2026-02-05 04:50:16.821895,71291.171,3.557149,wallet_BTC0004,wash_trading,0.62023446,direct_confirmation,BTCUSDT_00000918,medium_signal_composite,strict_wash,"Confirmed wash-like flow: repeated near-zero net directional activity, wallet_freq_z=2.92"
BTCUSDT,2026-02-05,BTCUSDT_00001146,2026-02-05 12:23:37.834256,69297.974,0.999772,wallet_BTC0004,wash_trading,0.49096806,event_expansion,BTCUSDT_00000918,,expanded_from_confirmed_event,Part of a confirmed wash-trading sequence with near-zero net directional flow
BTCUSDT,2026-02-05,BTCUSDT_00001711,2026-02-05 07:53:22.890348,70976.165,0.330287,wallet_BTC0004,wash_trading,0.3900051,event_expansion,BTCUSDT_00000918,,expanded_from_confirmed_event,Part of a confirmed wash-trading sequence with near-zero net directional flow
BTCUSDT,2026-02-05,BTCUSDT_00000591,2026-02-05 17:43:36.509346,67101.628,0.173769,wallet_BTC0004,wash_trading,0.35777513,event_expansion,BTCUSDT_00000918,,expanded_from_confirmed_event,Part of a confirmed wash-trading sequence with near-zero net directional flow
BTCUSDT,2026-02-05,BTCUSDT_00002065,2026-02-05 23:46:05.392590,63546.655,0.598014,wallet_BTC0004,wash_trading,0.29267061,event_expansion,BTCUSDT_00000918,,expanded_from_confirmed_event,Part of a confirmed wash-trading sequence with near-zero net directional flow
BTCUSDT,2026-02-06,BTCUSDT_00002787,2026-02-06 14:42:15.616479,68106.763,5.254512,wallet_BTC0087,ramping,0.70810323,direct_confirmation,BTCUSDT_00002787,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=7.18"
BTCUSDT,2026-01-04,BTCUSDT_00002136,2026-01-04 04:16:06.597714,91373.57,2.834444,wallet_BTC0192,ramping,0.63239243,direct_confirmation,BTCUSDT_00002136,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=2.05"
BTCUSDT,2026-01-20,BTCUSDT_00000161,2026-01-20 13:18:49.678279,90991.32,11.164801,wallet_BTC0161,ramping,0.61595899,direct_confirmation,BTCUSDT_00000161,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=8.93"
BTCUSDT,2026-01-20,BTCUSDT_00001821,2026-01-20 18:31:06.581825,89710.583,2.645318,wallet_BTC0091,ramping,0.58546354,direct_confirmation,BTCUSDT_00001821,medium_signal_composite,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=3.20"
BTCUSDT,2026-02-05,BTCUSDT_00000007,2026-02-05 13:53:36.071774,69640.753,8.445845,wallet_BTC0152,ramping,0.56593166,direct_confirmation,BTCUSDT_00000007,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=6.65"
BTCUSDT,2026-02-16,BTCUSDT_00000275,2026-02-16 15:37:50.328816,67369.887,7.209137,wallet_BTC0164,ramping,0.55137883,direct_confirmation,BTCUSDT_00000275,high_signal_qty_rolling_z,strict_ramping,"Confirmed ramping: monotonic same-direction sequence, ramping_score=1.00, qty_intraday_z=8.87"
BTCUSDT,2026-02-06,BTCUSDT_00000985,2026-02-06 13:22:25.787961,67422.903,0.199391,wallet_BTC0087,ramping,0.32299075,event_expansion,BTCUSDT_00002787,,expanded_from_confirmed_event,Part of a confirmed ramping event from the same wallet with monotonic price progression
BTCUSDT,2026-02-05,BTCUSDT_00003053,2026-02-05 14:57:44.854630,69559.032,0.265524,wallet_BTC0152,ramping,0.1351422,event_expansion,BTCUSDT_00000007,,expanded_from_confirmed_event,Part of a confirmed ramping event from the same wallet with monotonic price progression
